symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime,composite_proxy,health_proxy
CVE,2021-06-04,2021-06-17,9.41,9.73,364,117.57,0.0343,9,trail_profit,0.218,0.5111,0.0305,NEUTRAL/TRENDING,2.0,0.445
SHOP,2021-05-21,2021-06-18,1225.16,1465.58,2,480.83,0.1962,19,profit_target,0.3278,0.7215,0.0314,NEUTRAL/TRENDING,1.669,1.0
EWZ,2021-06-04,2021-06-30,41.68,40.66,84,-85.3,-0.0244,18,trail_loss,0.2882,0.6148,0.0312,NEUTRAL/TRENDING,1.754,-0.164
XBI,2021-06-10,2021-06-30,136.05,134.5,33,-51.23,-0.0114,14,trail_loss,0.4307,0.6955,0.0397,NEUTRAL/TRENDING,1.631,0.192
TQQQ,2021-06-16,2021-06-30,108.93,122.57,41,559.19,0.1252,10,profit_target,0.53,0.7336,0.0398,NEUTRAL/TRENDING,2.0,1.0
PLTR,2021-06-02,2021-07-01,24.48,25.56,143,155.0,0.0443,21,trail_profit,0.3199,0.7197,0.0313,NEUTRAL/TRENDING,1.998,0.34
NOW,2021-06-16,2021-07-01,510.4,542.62,8,257.74,0.0631,11,trail_profit,0.4544,0.9219,0.04,NEUTRAL/TRENDING,1.996,0.392
AMD,2021-06-02,2021-07-02,82.04,94.64,43,541.91,0.1536,22,profit_target,0.4697,0.749,0.032,NEUTRAL/TRENDING,1.661,1.0
PBR,2021-06-03,2021-07-02,11.28,11.91,310,195.0,0.0558,21,momentum_break,0.2334,0.5636,0.031,NEUTRAL/TRENDING,1.96,-0.113
MU,2021-06-30,2021-07-02,85.06,80.15,43,-211.3,-0.0578,2,trail_loss,0.4832,0.8316,0.0321,NEUTRAL/TRENDING,-0.84,-0.335
AAPL,2021-06-16,2021-07-06,130.15,141.88,34,398.79,0.0901,13,profit_target,0.4314,0.7437,0.0395,NEUTRAL/TRENDING,1.533,1.0
JD,2021-06-30,2021-07-06,79.81,74.58,45,-235.21,-0.0655,3,trail_loss,0.3199,0.5693,0.0312,NEUTRAL/TRENDING,0.406,-0.499
PINS,2021-06-17,2021-07-08,73.18,75.89,60,162.52,0.037,14,trail_profit,0.3106,0.6862,0.0389,NEUTRAL/TRENDING,2.0,0.13
SHOP,2021-06-18,2021-07-08,1467.04,1452.82,2,-28.45,-0.0097,13,trail_loss,0.2847,0.741,0.0311,NEUTRAL/TRENDING,2.0,0.329
SOXL,2021-06-30,2021-07-08,44.61,38.92,81,-460.85,-0.1275,5,trail_loss,0.3442,0.5813,0.0314,NEUTRAL/TRENDING,2.0,-0.711
TSM,2021-07-01,2021-07-08,118.48,116.23,39,-87.62,-0.019,4,trail_loss,0.4907,0.5,0.0399,NEUTRAL/MIXED,0.013,-0.26
ON,2021-07-02,2021-07-08,38.43,36.65,117,-208.57,-0.0464,3,trail_loss,0.3941,0.4388,0.0392,NEUTRAL/MIXED,-0.383,-0.719
ANET,2021-07-08,2021-07-14,370.38,366.46,12,-47.01,-0.0106,4,trail_loss,0.4606,0.6971,0.04,NEUTRAL/TRENDING,0.36,-0.248
AMD,2021-07-02,2021-07-15,94.74,86.61,47,-382.27,-0.0858,8,trail_loss,0.2441,0.5035,0.039,NEUTRAL/TRENDING,1.985,-0.43
TSM,2021-07-14,2021-07-15,124.51,117.41,36,-255.55,-0.057,1,trail_loss,0.359,0.58,0.0395,NEUTRAL/TRENDING,0.0,0.0
QCOM,2021-07-01,2021-07-19,140.91,137.72,32,-102.2,-0.0227,11,trail_loss,0.4578,0.5132,0.04,NEUTRAL/TRENDING,1.071,-0.212
AAPL,2021-07-06,2021-07-19,142.02,143.58,31,48.45,0.011,9,trail_profit,0.3012,0.5737,0.0391,NEUTRAL/TRENDING,2.0,0.342
TQQQ,2021-07-08,2021-07-19,127.04,123.1,35,-137.87,-0.031,7,trail_loss,0.3421,0.6019,0.0391,NEUTRAL/TRENDING,2.0,-0.355
