symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
PEP,2022-05-17,2022-05-18,174.6,164.19,46,-478.96,-0.0596,1,stop_loss,1.6611,0.3831,0.08,NEUTRAL
MRK,2022-05-03,2022-05-19,87.1,91.03,95,373.11,0.0451,12,stop_loss,1.8281,0.4217,0.08,NEUTRAL
BMY,2022-05-13,2022-05-19,75.84,75.88,105,3.68,0.0005,4,stop_loss,2.3128,0.5335,0.08,NEUTRAL
COIN,2022-05-24,2022-06-01,61.39,67.83,130,836.94,0.1049,5,stop_loss,1.9608,0.4523,0.08,NEUTRAL
CMCSA,2022-05-13,2022-06-02,41.5,43.05,193,298.3,0.0372,13,stop_loss,1.7385,0.401,0.08,NEUTRAL
USB,2022-05-31,2022-06-02,53.11,51.21,156,-296.25,-0.0358,2,stop_loss,1.6875,0.3892,0.08,NEUTRAL
AMZN,2022-06-03,2022-06-06,2447.63,2185.73,3,-785.71,-0.107,1,stop_loss,1.6737,0.386,0.08,NEUTRAL
NFLX,2022-05-23,2022-06-09,187.52,193.61,42,255.66,0.0325,12,stop_loss,1.6794,0.3874,0.08,NEUTRAL
ADBE,2022-05-18,2022-06-10,398.34,418.11,20,395.32,0.0496,16,stop_loss,1.7957,0.4142,0.08,NEUTRAL
NET,2022-05-23,2022-06-10,56.78,50.9,141,-829.67,-0.1036,13,stop_loss,1.7656,0.4072,0.08,NEUTRAL
SHOP,2022-05-23,2022-06-10,368.64,345.02,21,-496.08,-0.0641,13,stop_loss,1.7324,0.3996,0.08,NEUTRAL
DDOG,2022-06-03,2022-06-10,105.53,98.37,78,-558.14,-0.0678,5,stop_loss,1.8413,0.4247,0.08,NEUTRAL
NFLX,2022-06-09,2022-06-13,192.88,170.03,42,-959.49,-0.1184,2,stop_loss,2.0512,0.4731,0.08,NEUTRAL
UBER,2022-06-09,2022-06-13,25.45,22.03,319,-1091.31,-0.1344,2,stop_loss,1.8963,0.4374,0.08,NEUTRAL
CVX,2022-06-15,2022-06-17,164.21,153.09,47,-522.48,-0.0677,2,stop_loss,2.02,0.4659,0.08,NEUTRAL
SLB,2022-06-15,2022-06-17,41.52,36.46,186,-940.83,-0.1218,2,stop_loss,1.6814,0.3878,0.08,NEUTRAL
XOM,2022-06-17,2022-06-23,86.12,87.14,88,89.44,0.0118,3,stop_loss,1.924,0.4438,0.08,NEUTRAL
BMY,2022-06-14,2022-06-27,72.94,79.89,106,736.7,0.0953,8,take_profit,2.013,0.4643,0.08,NEUTRAL
AMZN,2022-06-15,2022-06-28,107.71,110.1,25,59.73,0.0222,8,stop_loss,1.8328,0.4227,0.0286,NEUTRAL
LLY,2022-06-16,2022-06-28,288.42,317.7,26,761.26,0.1015,7,stop_loss,2.0571,0.4745,0.08,NEUTRAL
MRK,2022-06-22,2022-06-28,89.21,92.57,86,289.11,0.0377,4,stop_loss,1.7927,0.4135,0.08,NEUTRAL
WMT,2022-06-17,2022-06-29,118.41,121.28,64,183.75,0.0242,7,stop_loss,2.2177,0.5115,0.08,NEUTRAL
SNOW,2022-06-24,2022-06-29,151.86,140.44,51,-582.35,-0.0752,3,stop_loss,1.8519,0.4271,0.08,NEUTRAL
